,Datetime,Close,High,Low,Open,Volume,Company,ticker
0,2024-12-26 14:30:00+00:00,258.9790954589844,259.19000244140625,258.1000061035156,258.9790954589844,1052265,Apple,AAPL
1,2024-12-26 14:31:00+00:00,259.3900146484375,259.6499938964844,258.8450012207031,258.889892578125,299504,Apple,AAPL
2,2024-12-26 14:32:00+00:00,259.7449951171875,259.8500061035156,259.3500061035156,259.4200134277344,285118,Apple,AAPL
3,2024-12-26 14:33:00+00:00,259.7650146484375,259.7744140625,259.6300048828125,259.7200012207031,270998,Apple,AAPL
4,2024-12-26 14:34:00+00:00,259.57000732421875,259.9700012207031,259.54998779296875,259.75,276536,Apple,AAPL
5,2024-12-26 14:35:00+00:00,259.42510986328125,259.6000061035156,259.2200012207031,259.531005859375,228295,Apple,AAPL
6,2024-12-26 14:36:00+00:00,259.239990234375,259.45001220703125,259.19000244140625,259.4307861328125,113352,Apple,AAPL
7,2024-12-26 14:37:00+00:00,259.739990234375,259.7699890136719,259.1700134277344,259.2099914550781,232115,Apple,AAPL
8,2024-12-26 14:38:00+00:00,259.9299011230469,259.9299011230469,259.5,259.7309875488281,145544,Apple,AAPL
9,2024-12-26 14:39:00+00:00,259.7452087402344,260.0899963378906,259.7099914550781,259.9100036621094,488018,Apple,AAPL
10,2024-12-26 14:40:00+00:00,259.5400085449219,259.75,259.5,259.7200012207031,162389,Apple,AAPL
11,2024-12-26 14:41:00+00:00,259.54998779296875,259.6997985839844,259.3944091796875,259.5249938964844,108537,Apple,AAPL
12,2024-12-26 14:42:00+00:00,259.5899963378906,259.7200012207031,259.4599914550781,259.55999755859375,94946,Apple,AAPL
13,2024-12-26 14:43:00+00:00,259.3796081542969,259.6799011230469,259.2699890136719,259.6199951171875,165232,Apple,AAPL
14,2024-12-26 14:44:00+00:00,259.3399963378906,259.44000244140625,259.260009765625,259.3800048828125,86076,Apple,AAPL
15,2024-12-26 14:45:00+00:00,259.20001220703125,259.3500061035156,259.0299987792969,259.3399963378906,113534,Apple,AAPL
16,2024-12-26 14:46:00+00:00,259.30999755859375,259.3599853515625,259.20001220703125,259.2268981933594,54543,Apple,AAPL
17,2024-12-26 14:47:00+00:00,258.9299011230469,259.2900085449219,258.8800964355469,259.2799987792969,180295,Apple,AAPL
18,2024-12-26 14:48:00+00:00,258.8299865722656,258.9418029785156,258.7699890136719,258.94000244140625,123537,Apple,AAPL
19,2024-12-26 14:49:00+00:00,258.6400146484375,258.8500061035156,258.6000061035156,258.82000732421875,138840,Apple,AAPL
